x1,y1,x2,y2
  518.4,  379.3,  502.2,  388.6
  518.3,  379.8,  502.5,  388.8
  518.7,  380.5,  503.2,  388.6
  519.2,  380.6,  503.9,  388.6
  519.1,  380.1,  504.0,  388.2
  518.5,  379.6,  503.5,  387.7
  518.2,  379.3,  503.0,  387.2
  518.5,  379.5,  502.5,  387.1
  518.9,  379.7,  502.6,  387.8
  519.1,  379.7,  502.6,  388.6
  519.3,  379.5,  503.1,  389.4
  519.3,  379.3,  503.5,  389.3
  519.3,  378.9,  503.8,  388.5
  519.5,  378.8,  503.6,  387.6
  519.8,  378.8,  503.4,  387.3
  519.6,  379.3,  503.4,  387.8
  519.1,  379.7,  503.6,  387.6
  518.6,  380.0,  503.8,  387.1
  518.5,  380.0,  504.0,  386.6
  518.5,  380.1,  504.3,  386.8
  518.7,  380.1,  504.7,  386.9
  519.0,  379.4,  505.1,  386.5
  519.5,  378.8,  504.9,  386.0
  520.0,  378.4,  504.1,  385.6
  520.3,  378.8,  503.3,  385.8
  520.0,  379.2,  502.8,  386.2
  519.6,  379.4,  503.0,  386.6
  519.6,  379.5,  503.1,  387.0
  520.1,  379.6,  503.1,  387.2
  520.6,  379.6,  503.5,  387.2
  520.6,  379.6,  504.1,  387.2
  520.6,  379.5,  504.5,  387.3
  519.9,  379.4,  504.2,  387.4
  519.2,  379.4,  503.9,  387.7
  518.6,  378.9,  504.4,  387.9
  518.8,  378.5,  504.9,  388.1
  519.1,  377.7,  505.4,  388.1
  519.3,  377.2,  505.3,  388.0
  519.3,  376.6,  505.0,  388.0
  519.0,  376.5,  504.8,  388.0
  518.7,  376.5,  504.6,  388.2
  519.0,  376.5,  504.5,  388.5
  519.1,  377.0,  504.4,  388.5
  519.1,  377.4,  504.7,  388.2
  518.7,  377.9,  505.1,  387.9
  518.5,  377.9,  504.5,  388.5
  519.4,  378.0,  503.7,  389.1
  520.3,  378.0,  503.0,  389.0
  520.8,  377.7,  503.3,  388.3
  520.5,  377.3,  503.7,  387.6
  519.9,  376.9,  504.3,  387.9
  519.5,  377.3,  504.8,  388.3
  518.9,  377.7,  504.6,  388.7
  518.7,  378.2,  504.1,  388.6
  519.0,  378.3,  503.7,  388.5
  519.5,  378.8,  503.9,  388.6
  520.0,  379.2,  504.1,  389.1
  520.3,  379.3,  504.4,  389.7
  520.7,  379.1,  504.6,  389.6
  520.8,  378.9,  504.5,  388.8
  520.7,  378.8,  504.3,  388.3
  520.5,  378.7,  503.9,  388.4
  520.7,  378.7,  504.3,  388.6
  520.8,  378.8,  504.9,  388.5
  520.6,  378.8,  505.6,  388.1
  520.5,  378.8,  505.8,  387.7
  520.1,  378.8,  505.6,  387.3
  519.4,  378.6,  505.4,  387.3
  518.9,  378.5,  505.1,  387.2
  518.5,  378.5,  505.0,  387.2
  518.6,  378.3,  505.5,  386.7
  518.7,  378.1,  506.0,  386.2
  518.9,  377.9,  506.2,  386.9
  519.0,  377.8,  505.9,  388.1
  519.0,  377.8,  505.6,  389.2
  518.9,  377.8,  505.7,  389.1
  518.7,  377.8,  505.8,  389.1
  518.7,  377.8,  505.7,  389.9
  518.7,  377.8,  505.5,  390.7
  518.7,  378.0,  505.3,  390.7
  518.7,  378.1,  505.0,  389.9
  518.6,  378.6,  504.8,  389.5
  518.4,  379.2,  505.1,  389.9
  518.1,  379.9,  505.6,  390.4
  518.0,  379.6,  506.1,  390.6
  517.9,  379.0,  506.1,  390.8
  517.9,  379.1,  506.2,  390.3
  518.0,  379.9,  506.4,  389.9
  518.0,  380.8,  506.4,  390.0
  517.9,  381.0,  506.6,  390.8
  517.7,  381.2,  506.8,  391.6
  518.2,  381.7,  506.7,  391.7
  518.9,  382.0,  506.4,  391.8
  519.4,  382.0,  506.1,  391.8
  519.3,  381.8,  506.1,  391.8
  519.2,  381.6,  506.3,  391.6
  519.2,  381.7,  506.5,  391.3
  519.4,  381.8,  505.9,  390.9
  519.8,  381.8,  505.2,  390.9
  520.3,  381.8,  505.1,  391.1
  520.3,  382.2,  506.3,  391.3
  520.3,  382.6,  507.5,  391.4
  519.7,  383.0,  508.0,  391.4
  519.2,  382.9,  508.0,  391.5
  519.3,  383.0,  508.1,  390.7
  519.9,  383.0,  508.1,  389.9
  520.6,  383.1,  508.2,  389.0
  520.9,  383.0,  508.1,  388.9
  521.1,  383.1,  508.0,  388.7
  521.2,  383.1,  508.1,  389.0
  521.3,  383.6,  508.3,  389.3
  520.9,  384.1,  507.9,  389.6
  520.5,  384.3,  507.4,  389.5
  520.5,  384.0,  506.9,  389.4
  520.5,  383.8,  507.0,  389.5
  520.3,  383.9,  506.9,  389.8
  519.9,  383.9,  506.7,  389.9
  519.4,  383.7,  506.6,  390.0
  519.1,  383.4,  506.8,  390.1
  518.7,  383.0,  507.0,  390.5
  518.6,  383.0,  507.0,  390.4
  518.5,  383.1,  506.9,  389.8
  518.3,  383.2,  506.6,  389.2
  518.8,  383.3,  506.3,  389.1
  519.2,  383.5,  505.8,  389.9
  519.6,  384.0,  505.7,  390.9
  519.6,  384.4,  505.8,  391.7
  519.6,  384.7,  506.2,  391.5
  519.7,  384.6,  506.8,  391.1
  519.8,  384.5,  507.3,  391.1
  519.7,  384.5,  507.5,  391.9
  519.7,  384.4,  507.8,  392.7
  519.6,  384.2,  508.1,  393.2
  519.4,  384.6,  508.2,  393.3
  519.1,  385.1,  508.2,  393.4
  518.1,  384.9,  508.2,  393.4
  517.4,  384.3,  508.3,  393.2
  517.4,  383.7,  508.1,  392.7
  518.1,  383.9,  507.8,  392.3
  518.8,  384.1,  507.9,  391.9
  518.8,  384.4,  508.4,  391.9
  518.4,  384.7,  508.9,  391.7
  518.1,  384.7,  508.3,  391.4
  517.9,  384.4,  507.8,  390.4
  517.4,  384.6,  505.5,  389.1
  516.7,  385.2,  502.9,  388.8
  514.0,  386.4,  500.3,  389.4
  510.7,  387.8,  498.0,  390.6
  506.8,  389.2,  496.2,  393.1
  504.8,  391.2,  494.5,  396.3
  503.9,  393.5,  494.2,  399.5
  504.5,  395.9,  494.4,  401.0
  506.3,  397.8,  495.6,  402.0
  508.5,  398.7,  497.5,  402.7
  510.1,  398.7,  499.5,  403.1
  510.2,  397.8,  500.4,  403.2
  509.7,  396.9,  500.4,  403.1
  509.3,  396.9,  500.1,  402.9
  509.8,  397.0,  499.7,  402.1
  510.2,  397.1,  499.5,  401.3
  510.3,  397.1,  499.9,  400.7
  510.2,  396.9,  500.4,  400.7
  510.1,  397.4,  500.4,  400.5
  510.1,  398.0,  499.9,  400.3
  510.1,  398.7,  499.3,  400.0
  510.1,  399.0,  499.2,  399.9
  510.5,  399.3,  499.0,  399.9
  510.9,  399.1,  499.0,  400.0
  510.4,  398.6,  499.5,  400.0
  509.6,  398.0,  500.4,  399.9
  509.4,  397.9,  501.2,  400.4
  510.0,  398.0,  501.1,  401.4
  510.7,  398.1,  500.3,  402.2
  510.7,  398.1,  499.7,  401.8
  510.7,  397.5,  499.7,  400.4
  510.7,  396.9,  500.0,  399.1
  510.7,  396.6,  500.2,  398.4
  510.7,  397.0,  499.3,  398.3
  510.3,  397.2,  498.5,  398.0
  509.9,  397.1,  498.0,  397.5
  509.4,  396.9,  498.4,  397.1
  509.3,  396.9,  498.6,  397.7
  509.2,  396.8,  498.6,  398.4
  509.3,  396.1,  498.5,  399.1
  509.4,  395.4,  498.6,  399.0
