x1,y1,x2,y2
  508.1,  377.8,  522.2,  373.4
  508.4,  377.6,  522.1,  373.4
  508.4,  378.0,  522.0,  373.4
  508.1,  378.7,  521.9,  373.4
  508.0,  379.2,  521.8,  373.3
  507.9,  379.6,  521.6,  373.5
  507.9,  379.7,  521.6,  373.7
  507.8,  379.8,  521.4,  374.0
  507.4,  379.8,  521.3,  374.1
  506.9,  379.2,  521.4,  374.0
  506.5,  378.6,  521.6,  373.7
  506.6,  378.1,  521.7,  373.4
  506.7,  378.4,  521.1,  373.3
  507.0,  378.7,  520.7,  373.2
  507.0,  379.3,  520.9,  373.6
  507.4,  379.8,  521.3,  374.3
  507.7,  379.7,  521.7,  375.1
  508.1,  379.2,  520.9,  375.6
  508.3,  378.6,  520.0,  375.8
  508.1,  378.6,  519.2,  375.4
  508.0,  378.6,  519.4,  374.3
  507.6,  378.6,  519.9,  373.1
  507.4,  378.7,  520.4,  372.5
  507.1,  378.9,  520.4,  372.5
  507.0,  379.8,  520.3,  372.7
  507.0,  380.7,  520.3,  372.8
  506.9,  381.4,  520.5,  372.6
  506.7,  381.5,  520.9,  372.4
  506.6,  381.1,  521.4,  372.2
  506.8,  380.5,  521.5,  372.6
  507.3,  379.8,  521.5,  373.0
  507.4,  379.8,  521.6,  373.0
  507.2,  379.8,  521.7,  372.6
  507.0,  379.8,  521.5,  372.4
  507.0,  379.9,  521.1,  372.5
  507.5,  379.9,  520.8,  372.7
  507.9,  379.9,  520.7,  372.7
  508.3,  380.1,  520.6,  372.6
  508.1,  380.3,  520.9,  372.4
  508.2,  380.4,  521.4,  372.4
  508.3,  380.5,  522.0,  372.2
  508.5,  380.6,  522.0,  372.0
  508.5,  380.4,  521.8,  371.7
  508.5,  380.2,  521.5,  371.5
  508.3,  380.7,  521.5,  371.2
  507.8,  381.3,  521.3,  371.1
  507.3,  381.6,  521.0,  371.0
  506.9,  381.3,  520.6,  370.9
  506.8,  381.3,  520.4,  371.0
  506.7,  381.7,  520.4,  371.0
  506.6,  382.0,  520.5,  371.0
  506.6,  381.9,  520.9,  370.4
  506.7,  381.8,  521.2,  369.4
  506.7,  381.3,  521.4,  368.4
  506.6,  380.9,  521.5,  368.1
  506.5,  380.5,  521.7,  368.2
  506.6,  381.1,  521.9,  368.6
  506.8,  381.7,  522.1,  369.1
  506.6,  382.2,  521.7,  369.5
  506.3,  382.0,  521.5,  369.7
  506.4,  381.5,  521.0,  369.6
  507.0,  381.0,  520.7,  369.6
  507.4,  381.1,  521.0,  369.4
  507.3,  381.5,  521.7,  369.3
  507.2,  381.8,  522.4,  369.5
  506.8,  381.7,  522.4,  369.8
  506.4,  381.5,  522.3,  369.9
  506.1,  381.5,  522.3,  369.7
  506.0,  381.6,  522.5,  369.5
  506.1,  381.9,  522.5,  370.1
  506.2,  382.1,  522.4,  370.7
  506.4,  382.2,  522.3,  371.3
  506.3,  381.9,  522.0,  370.6
  506.1,  381.6,  521.7,  369.9
  505.9,  381.3,  521.6,  369.3
  505.7,  381.2,  521.7,  369.4
  505.6,  381.1,  521.9,  369.6
  505.2,  380.9,  521.9,  370.0
  504.8,  380.8,  521.9,  370.4
  504.9,  381.0,  521.8,  370.1
  505.5,  381.3,  521.7,  369.6
  506.1,  381.1,  521.6,  369.1
  505.6,  380.5,  521.6,  369.2
  505.1,  380.0,  521.7,  369.2
  504.5,  379.6,  521.8,  369.0
  504.3,  379.2,  521.9,  368.8
  504.2,  378.7,  521.9,  368.6
  504.1,  378.5,  521.9,  368.5
  504.3,  378.3,  521.9,  368.7
  504.5,  378.3,  521.6,  369.0
  504.5,  378.7,  521.3,  369.3
  504.5,  379.2,  521.5,  369.5
  504.4,  379.6,  521.9,  369.5
  504.4,  379.3,  521.9,  369.4
  504.6,  378.9,  521.5,  369.4
  504.8,  378.6,  521.0,  369.3
  505.0,  378.5,  520.8,  369.3
  505.1,  378.5,  520.6,  369.4
  504.9,  378.7,  520.8,  369.6
  504.8,  379.0,  521.1,  370.3
  504.8,  379.3,  521.2,  371.3
  505.1,  379.4,  521.0,  372.1
  504.2,  378.6,  521.1,  372.5
  503.0,  377.4,  521.3,  372.6
  502.9,  376.3,  521.6,  372.8
  504.0,  376.0,  521.8,  372.8
  504.9,  376.5,  522.0,  373.1
  504.8,  376.7,  522.1,  373.8
  504.7,  377.0,  522.0,  374.4
  504.3,  376.7,  521.8,  374.8
  503.9,  376.7,  521.4,  374.4
  503.5,  376.7,  521.0,  374.1
  503.6,  376.5,  520.9,  374.0
  503.7,  376.3,  521.1,  374.1
  503.8,  376.2,  521.3,  374.2
  503.9,  376.1,  521.7,  373.9
  503.6,  376.5,  521.9,  373.5
  503.3,  376.9,  521.9,  372.7
  503.8,  377.4,  521.5,  372.4
  504.5,  378.0,  521.3,  372.4
  505.2,  378.6,  521.6,  372.7
  505.2,  379.6,  521.9,  373.0
  505.2,  380.2,  522.1,  373.1
  505.4,  380.8,  522.4,  372.6
  505.5,  381.0,  522.4,  372.1
  505.3,  381.2,  522.4,  371.6
  505.1,  380.8,  522.4,  371.6
  504.9,  380.2,  522.8,  371.6
  504.9,  379.6,  523.2,  370.9
  505.0,  379.5,  523.6,  370.2
  505.0,  379.9,  523.6,  369.7
  505.1,  380.3,  523.3,  369.6
  505.1,  380.9,  522.7,  369.9
  505.3,  381.1,  522.0,  370.7
  505.5,  380.9,  522.3,  371.5
  505.6,  380.5,  522.8,  371.9
  505.6,  380.3,  523.2,  371.6
  505.5,  380.6,  522.9,  371.1
  505.2,  380.8,  522.7,  370.8
  504.9,  380.7,  522.8,  370.4
  504.8,  380.8,  523.1,  370.0
  504.8,  380.9,  523.2,  369.8
  504.9,  380.8,  523.1,  370.0
  504.9,  380.6,  523.0,  369.9
  505.0,  380.2,  522.9,  369.7
  505.1,  379.9,  522.9,  369.5
  505.1,  379.7,  522.6,  369.4
  505.0,  379.9,  522.4,  369.4
  504.9,  380.1,  522.9,  369.7
  505.2,  380.3,  523.5,  370.0
  505.5,  381.2,  523.3,  370.1
  505.9,  381.9,  522.5,  370.2
  505.8,  382.8,  521.9,  370.2
  505.5,  382.9,  522.3,  370.4
  505.0,  383.6,  522.7,  370.3
  504.6,  384.1,  522.7,  370.8
  504.6,  383.9,  522.3,  371.3
  504.9,  382.9,  523.1,  371.8
  505.3,  382.0,  524.2,  371.4
  505.3,  382.3,  524.9,  370.9
  505.2,  383.0,  524.5,  370.8
  505.7,  384.4,  524.6,  371.9
  506.2,  385.3,  525.1,  373.0
  506.9,  386.6,  525.8,  373.9
  507.0,  387.2,  525.8,  374.0
  507.0,  387.9,  525.7,  374.7
  506.8,  388.2,  525.7,  375.4
  506.1,  388.5,  525.8,  375.8
  505.5,  388.6,  525.5,  375.5
  504.9,  389.5,  525.0,  376.0
  504.7,  390.5,  524.3,  376.8
  504.4,  391.6,  524.2,  377.6
  504.9,  391.7,  524.7,  377.1
  505.5,  391.4,  525.3,  376.4
  506.2,  391.0,  525.8,  376.1
  506.5,  390.1,  525.3,  376.2
  506.5,  389.6,  524.6,  376.4
  506.6,  389.2,  524.0,  376.4
  506.2,  389.1,  523.7,  376.4
  505.8,  388.8,  523.4,  376.4
  506.0,  388.5,  522.8,  376.5
  506.5,  388.3,  522.6,  376.5
  506.9,  388.3,  522.4,  376.5
  506.9,  388.5,  522.4,  376.6
  507.0,  388.8,  522.4,  376.9
  507.1,  388.9,  522.4,  377.4
  507.2,  388.7,  522.4,  377.8
  506.5,  388.4,  522.6,  378.0
  505.8,  388.1,  523.1,  378.3
  505.6,  388.3,  523.6,  378.4
  506.0,  389.0,  523.4,  378.4
  506.4,  389.7,  522.9,  378.4
  506.0,  389.8,  522.4,  378.4
  505.9,  388.7,  522.5,  377.9
  505.4,  387.6,  522.6,  377.3
  505.3,  386.8,  522.4,  376.9
  505.1,  386.9,  521.8,  377.1
  505.1,  387.0,  521.3,  377.3
  504.8,  386.9,  521.9,  377.5
  504.4,  386.7,  522.8,  377.3
  504.0,  386.5,  523.7,  377.1
  503.9,  386.5,  523.7,  377.1
  504.3,  386.5,  523.6,  377.8
  504.8,  386.4,  523.5,  378.5
  504.5,  385.5,  523.5,  378.7
  503.8,  384.5,  523.5,  378.6
  503.5,  384.3,  523.6,  378.6
  503.9,  385.0,  523.7,  378.6
  503.9,  385.5,  523.8,  378.6
  503.6,  385.3,  523.7,  378.6
  503.2,  385.2,  523.6,  378.7
  503.1,  385.2,  523.3,  378.8
  503.0,  385.0,  523.1,  378.2
  503.1,  384.8,  522.9,  377.2
  503.1,  385.0,  523.7,  376.2
  503.0,  385.4,  524.4,  375.8
  502.8,  385.8,  524.9,  375.8
  502.7,  385.5,  524.7,  376.1
  502.9,  385.1,  524.4,  376.9
  503.2,  384.7,  524.3,  377.7
  503.8,  384.6,  523.8,  379.0
  504.3,  384.8,  523.5,  379.9
  504.7,  385.5,  523.0,  380.3
  504.7,  386.2,  522.9,  379.6
  504.7,  386.8,  523.0,  378.7
  504.4,  386.9,  523.1,  378.4
  504.1,  387.0,  523.1,  378.7
  504.2,  386.7,  523.1,  379.3
  504.6,  386.5,  523.0,  379.8
  505.0,  386.4,  523.0,  379.9
  505.0,  386.5,  523.0,  380.0
  505.1,  386.6,  523.1,  380.1
  505.2,  386.7,  523.4,  380.3
  505.6,  386.9,  523.6,  380.9
  506.3,  387.1,  523.6,  381.3
  507.0,  387.3,  523.3,  381.6
  507.2,  387.5,  523.0,  381.7
  507.2,  387.8,  522.8,  381.8
  506.9,  388.5,  522.7,  381.8
  506.6,  389.0,  522.5,  381.5
  506.4,  388.9,  522.2,  381.2
  506.2,  388.4,  521.8,  381.0
  506.0,  388.3,  521.7,  380.9
  505.7,  388.7,  521.8,  380.9
  505.6,  389.3,  522.0,  380.6
  505.9,  389.5,  521.9,  380.3
  506.3,  389.8,  521.7,  379.8
  506.7,  389.5,  521.4,  379.4
  506.9,  388.8,  521.4,  378.9
  506.9,  388.2,  521.3,  378.7
  506.5,  388.5,  521.2,  378.8
  506.0,  389.0,  521.1,  379.1
  505.7,  389.4,  521.0,  379.5
  505.8,  389.3,  520.9,  379.6
  505.9,  389.2,  521.1,  379.6
  505.9,  389.1,  521.5,  379.0
  505.9,  389.1,  522.0,  378.4
  505.7,  389.2,  522.1,  377.8
  505.7,  388.7,  522.2,  378.0
  505.9,  388.0,  522.2,  378.3
  506.2,  387.4,  522.3,  378.5
  506.6,  387.5,  522.3,  378.4
  506.7,  387.8,  522.4,  378.4
  506.7,  388.0,  522.3,  378.5
  506.9,  388.0,  522.2,  378.7
  507.0,  387.8,  522.1,  379.6
  506.9,  387.5,  521.4,  380.4
  506.7,  387.5,  520.4,  381.9
  506.5,  387.5,  519.6,  382.7
  506.8,  387.5,  519.7,  383.0
  507.0,  388.1,  520.2,  382.0
  507.1,  388.6,  520.8,  381.0
  506.8,  389.1,  520.8,  380.8
  506.5,  389.2,  520.6,  381.2
  506.3,  389.0,  520.4,  381.7
  506.5,  388.8,  520.3,  381.9
  506.7,  388.5,  521.2,  382.3
  507.0,  388.3,  522.1,  382.6
  506.8,  388.1,  522.9,  383.0
  506.6,  387.9,  522.9,  383.3
  506.5,  387.5,  522.6,  383.5
  506.2,  387.1,  522.0,  383.5
  505.4,  386.7,  521.5,  383.3
  504.7,  386.0,  521.5,  383.1
  504.6,  385.5,  521.7,  383.0
  505.1,  385.0,  521.9,  382.9
  505.5,  385.0,  521.8,  383.1
  505.5,  385.0,  522.0,  383.5
  505.6,  384.7,  522.0,  384.1
  505.8,  384.4,  521.9,  384.2
  506.4,  384.4,  521.6,  384.0
  506.8,  384.7,  521.5,  383.6
  506.6,  384.5,  521.4,  383.5
  506.2,  384.1,  521.3,  383.7
  505.7,  383.7,  521.4,  384.5
  505.7,  383.7,  521.5,  385.2
  506.6,  384.0,  521.7,  385.6
  507.5,  384.2,  521.6,  385.4
  508.2,  384.4,  521.6,  385.2
  508.0,  384.3,  521.6,  385.2
  508.0,  384.4,  521.3,  385.0
  508.2,  384.6,  521.0,  384.9
  508.3,  384.7,  521.2,  384.9
  508.1,  384.7,  521.8,  384.5
  508.4,  385.6,  522.3,  384.2
  508.8,  386.5,  522.3,  383.0
  509.4,  387.2,  522.5,  382.0
  509.4,  387.3,  522.8,  381.1
  509.4,  387.6,  522.9,  380.9
  509.7,  388.3,  522.9,  380.9
  510.1,  389.0,  523.0,  380.9
  510.6,  389.5,  523.1,  381.0
  510.6,  389.6,  523.5,  380.7
  510.7,  389.7,  523.7,  380.0
  510.7,  389.8,  523.9,  379.4
  510.7,  389.8,  523.8,  379.0
  510.8,  390.0,  523.6,  379.3
  510.7,  390.2,  523.4,  379.6
  511.0,  390.4,  523.5,  379.2
  511.2,  390.6,  523.6,  378.7
  511.4,  390.9,  523.7,  378.1
  511.4,  391.1,  523.7,  378.1
  510.8,  390.9,  523.7,  378.0
  510.3,  390.6,  524.0,  377.9
  510.0,  390.0,  524.3,  377.8
  510.7,  389.7,  524.7,  378.0
  511.5,  389.5,  524.8,  378.2
  511.2,  389.5,  524.9,  378.6
  510.4,  389.1,  524.9,  378.8
  510.0,  388.4,  524.9,  378.9
  510.4,  387.7,  524.9,  379.0
  510.2,  387.2,  524.7,  379.0
  509.8,  387.2,  524.5,  379.1
  509.0,  387.0,  524.9,  379.1
  508.6,  386.9,  525.5,  378.8
  508.7,  386.9,  525.5,  378.5
  509.2,  386.8,  525.0,  378.1
  509.4,  386.7,  524.3,  379.0
  509.1,  386.6,  524.2,  379.9
  508.8,  386.1,  523.9,  380.7
  508.3,  385.6,  523.8,  380.6
  507.9,  385.1,  523.8,  381.2
  507.4,  384.9,  524.2,  381.8
  507.3,  384.6,  524.6,  381.8
  507.4,  384.3,  524.8,  381.3
  507.7,  384.2,  524.6,  380.7
  508.1,  384.2,  524.4,  380.7
  508.5,  384.2,  524.2,  380.7
  508.7,  384.3,  524.3,  380.8
  508.7,  384.3,  524.2,  381.6
  509.0,  384.3,  523.9,  383.2
  509.3,  384.2,  523.3,  384.7
  509.7,  384.3,  522.9,  385.4
  510.0,  384.2,  522.6,  385.1
  510.4,  384.3,  522.7,  384.7
  510.8,  384.3,  522.7,  384.3
  510.9,  384.7,  522.8,  383.8
  510.6,  385.1,  522.8,  383.0
  510.9,  385.6,  522.9,  382.4
  511.3,  385.7,  523.0,  382.0
  511.7,  385.8,  523.4,  382.0
  511.9,  385.7,  523.8,  382.0
  512.2,  385.6,  524.4,  382.0
  512.3,  385.9,  524.9,  382.0
  512.3,  386.3,  525.3,  382.0
  512.5,  387.0,  525.4,  382.0
  512.7,  387.4,  525.3,  382.0
  512.7,  387.7,  525.5,  382.0
  512.7,  388.0,  525.9,  382.0
  512.7,  388.3,  526.5,  382.1
  512.6,  388.7,  526.9,  382.0
  512.2,  388.8,  527.0,  382.0
  511.8,  388.7,  527.1,  382.0
  512.1,  388.6,  527.3,  382.3
  512.5,  388.6,  527.6,  382.5
  513.2,  388.6,  528.0,  383.0
  513.5,  388.5,  528.2,  383.1
  513.8,  388.5,  528.4,  383.3
  513.7,  388.7,  528.5,  383.4
  513.4,  388.9,  528.7,  383.6
  513.2,  389.2,  529.0,  383.3
  513.3,  389.1,  529.3,  382.4
  513.4,  389.3,  529.3,  381.4
  513.3,  389.4,  529.2,  380.9
  513.2,  389.5,  529.1,  380.5
  513.3,  389.4,  528.7,  380.1
  513.6,  389.4,  528.3,  379.7
  513.5,  389.4,  527.8,  379.5
  513.2,  389.2,  528.0,  379.5
  513.3,  389.0,  528.2,  379.5
  513.5,  389.1,  527.9,  379.5
  513.7,  389.7,  527.3,  380.2
  513.6,  390.3,  526.7,  380.7
  513.7,  389.8,  526.8,  380.8
  513.9,  389.0,  527.1,  380.2
  514.1,  388.2,  527.5,  379.6
  514.3,  387.8,  527.9,  379.5
  514.4,  387.3,  528.0,  380.6
  514.4,  387.1,  528.0,  381.7
  514.2,  387.2,  527.7,  382.6
  514.1,  387.3,  527.5,  382.3
  513.9,  387.1,  527.5,  381.9
  513.6,  387.9,  527.4,  381.2
  513.3,  388.9,  527.2,  380.5
  513.2,  389.6,  527.0,  380.9
  513.3,  389.3,  526.9,  381.8
  513.4,  388.9,  526.9,  382.8
  513.5,  388.5,  527.0,  382.9
  513.7,  388.1,  527.0,  382.5
  514.2,  388.0,  526.4,  381.9
  514.6,  388.1,  525.8,  381.7
  514.6,  388.1,  525.6,  382.1
  514.2,  388.5,  526.1,  382.8
  513.8,  388.9,  526.7,  383.0
  514.2,  388.6,  526.9,  383.1
  514.8,  388.0,  527.0,  383.1
  515.2,  387.3,  527.1,  383.0
  515.1,  387.1,  527.2,  382.5
  514.4,  386.9,  527.6,  382.0
  513.9,  386.3,  527.9,  381.5
  513.5,  385.9,  528.4,  381.5
  513.5,  385.9,  528.7,  381.4
  513.9,  386.3,  529.0,  380.9
  514.0,  386.6,  528.8,  380.5
  514.3,  386.3,  528.5,  380.1
  514.3,  385.9,  528.0,  380.2
  514.5,  385.8,  527.8,  380.3
  514.7,  385.7,  527.6,  380.6
  514.5,  385.4,  527.4,  381.2
  514.0,  385.0,  527.4,  381.7
  513.6,  385.0,  527.5,  382.2
  513.6,  385.2,  527.6,  382.3
  513.7,  385.2,  527.4,  382.3
  513.8,  385.2,  527.1,  382.1
  513.9,  385.4,  527.1,  381.9
  513.7,  385.7,  527.3,  381.9
  513.2,  386.0,  527.5,  381.9
  512.8,  386.0,  527.5,  381.9
  512.6,  385.9,  527.4,  382.3
  512.6,  385.3,  527.6,  382.8
  512.8,  384.8,  527.5,  383.8
  512.8,  384.9,  527.5,  384.3
  512.7,  385.2,  527.5,  384.3
  512.6,  385.6,  527.6,  383.8
  512.6,  385.5,  527.5,  383.5
  512.6,  385.5,  527.1,  383.8
  512.8,  385.8,  526.6,  384.0
  513.5,  386.3,  526.1,  384.0
  514.2,  386.7,  525.7,  383.9
  514.6,  386.8,  525.3,  384.5
  514.4,  386.6,  525.3,  385.1
  514.2,  386.3,  525.3,  385.5
  514.2,  386.9,  525.5,  385.3
  514.5,  388.0,  525.4,  385.1
  514.9,  389.3,  525.3,  385.1
  515.5,  389.8,  525.2,  385.0
  515.8,  390.1,  525.5,  384.9
  515.9,  390.1,  525.7,  384.8
  515.9,  390.1,  525.7,  384.9
  515.6,  390.0,  525.6,  385.0
  515.2,  389.9,  525.5,  385.1
  515.0,  389.9,  525.5,  385.1
  515.2,  390.1,  525.4,  385.0
  515.6,  390.2,  525.5,  384.9
  516.1,  390.2,  525.6,  384.8
  516.5,  389.7,  525.6,  384.7
  516.7,  389.3,  526.2,  384.7
  516.7,  388.8,  526.7,  385.1
  516.7,  388.7,  526.5,  385.3
  516.8,  388.7,  525.8,  385.5
  517.0,  388.7,  525.7,  385.3
  517.1,  389.1,  526.4,  385.3
  517.0,  389.5,  526.5,  385.2
  517.0,  389.6,  526.1,  385.1
  516.9,  389.3,  525.5,  384.9
  516.3,  389.2,  525.2,  384.8
  515.9,  389.3,  524.8,  384.7
  515.8,  389.5,  524.6,  385.2
  516.1,  389.7,  524.7,  385.5
  516.3,  389.9,  524.9,  385.6
  517.1,  390.2,  525.2,  385.1
  517.9,  390.3,  525.0,  385.1
  518.6,  389.6,  524.8,  385.2
  518.5,  388.7,  525.1,  384.9
  518.4,  387.9,  525.6,  384.6
  518.4,  387.5,  525.7,  384.6
  518.2,  387.2,  525.3,  384.9
  517.8,  387.4,  525.5,  384.8
  517.4,  387.9,  525.9,  384.3
  517.3,  388.2,  526.0,  384.6
  517.3,  387.8,  525.5,  385.3
  517.1,  387.5,  525.6,  385.3
  517.0,  387.5,  526.1,  384.5
  516.9,  387.8,  526.6,  384.5
  517.3,  388.1,  526.6,  385.2
  517.6,  388.4,  526.7,  385.4
  517.7,  388.6,  526.1,  384.8
  517.9,  388.8,  525.4,  384.3
  517.9,  389.0,  525.0,  384.9
  518.1,  388.9,  525.4,  385.5
  518.4,  388.6,  525.9,  385.5
  518.7,  388.6,  526.5,  384.8
  518.9,  388.7,  527.0,  383.9
  518.9,  388.8,  527.0,  383.6
  519.2,  388.7,  526.5,  383.7
  519.3,  389.2,  526.0,  384.7
  519.2,  389.7,  525.9,  385.7
  519.1,  389.6,  525.9,  386.4
  519.1,  389.0,  526.1,  386.1
  519.4,  388.3,  526.3,  385.5
  520.1,  388.2,  526.3,  385.0
  520.7,  388.1,  526.3,  384.7
  520.5,  388.3,  526.3,  384.6
  519.9,  388.5,  526.4,  384.5
  519.3,  388.6,  526.0,  384.8
  519.4,  388.6,  525.7,  385.1
  519.5,  388.3,  526.3,  385.5
  519.8,  387.8,  527.2,  385.6
  520.0,  387.3,  527.9,  385.6
  520.0,  387.4,  527.8,  385.4
