x1,y1,x2,y2
  520.7,  394.3,  515.2,  369.4
  521.2,  394.5,  515.0,  369.9
  521.2,  394.6,  514.9,  369.8
  521.1,  394.5,  514.9,  369.3
  520.9,  394.4,  515.0,  368.8
  520.8,  394.3,  515.3,  368.6
  520.6,  394.4,  515.7,  368.3
  520.1,  394.3,  515.6,  367.8
  519.6,  394.2,  515.4,  367.4
  519.3,  394.0,  515.1,  367.8
  519.6,  393.8,  515.1,  368.4
  520.5,  394.2,  515.0,  368.8
  521.4,  394.8,  515.0,  368.1
  522.1,  395.5,  514.9,  367.5
  521.8,  395.9,  514.6,  367.7
  521.1,  396.6,  514.4,  368.5
  520.5,  397.2,  514.2,  369.6
  520.3,  397.4,  514.2,  370.0
  520.3,  397.4,  514.1,  370.2
  520.5,  397.5,  514.0,  370.1
  521.1,  397.6,  513.9,  370.2
  521.8,  397.5,  513.7,  370.4
  522.7,  397.3,  513.7,  370.2
  523.2,  397.5,  513.8,  369.7
  523.6,  398.0,  513.6,  369.2
  523.6,  398.5,  513.3,  369.2
  523.3,  398.4,  513.1,  369.1
  523.0,  398.1,  512.9,  369.1
  522.7,  397.2,  512.8,  369.1
  522.6,  396.4,  513.1,  369.3
  522.6,  395.8,  513.3,  369.5
  522.6,  395.7,  513.3,  369.7
  522.6,  395.9,  513.0,  369.8
  522.4,  396.0,  512.9,  369.7
  522.0,  395.8,  513.0,  369.4
  521.4,  395.4,  513.1,  369.1
  521.0,  395.5,  512.6,  369.6
  520.7,  396.1,  512.1,  370.2
  520.7,  396.6,  511.7,  370.9
  520.9,  396.8,  511.7,  371.1
  521.1,  396.8,  511.7,  371.3
  521.3,  396.8,  511.4,  371.4
  521.3,  396.7,  511.2,  371.3
  521.4,  396.5,  511.4,  371.4
  521.3,  396.7,  511.9,  371.4
  521.3,  396.9,  512.6,  371.3
  521.2,  397.2,  512.8,  371.5
  521.3,  397.2,  512.8,  371.9
  521.2,  397.2,  512.4,  372.4
  521.1,  397.2,  511.9,  372.7
  520.8,  397.0,  511.8,  372.8
  520.7,  396.8,  512.0,  372.8
  520.6,  396.5,  512.2,  372.9
  520.2,  396.1,  512.4,  372.9
  519.5,  395.3,  512.5,  373.0
  518.8,  394.5,  512.2,  373.1
  518.9,  394.1,  511.6,  373.0
  519.7,  395.0,  511.1,  372.8
  520.4,  396.1,  510.8,  372.7
  520.8,  396.6,  510.9,  372.7
  520.7,  396.2,  510.9,  372.8
  520.7,  395.8,  510.8,  373.0
  520.8,  395.9,  510.5,  373.1
  521.4,  396.0,  510.3,  372.6
  521.9,  396.5,  510.2,  372.2
  522.2,  396.9,  510.2,  372.0
  522.0,  397.2,  510.1,  372.6
  521.8,  397.5,  510.3,  372.9
  521.7,  397.7,  510.5,  373.1
  521.6,  398.1,  510.7,  373.1
  521.5,  398.2,  510.8,  373.2
  521.5,  398.4,  510.8,  372.8
  521.5,  398.4,  510.8,  372.5
  521.6,  398.4,  510.8,  372.2
  521.1,  398.4,  510.9,  372.0
  520.6,  398.3,  511.0,  371.8
  520.2,  397.7,  511.1,  371.7
  520.1,  397.2,  511.1,  371.7
  519.8,  396.6,  511.2,  371.5
  519.0,  396.6,  510.9,  371.3
  518.4,  396.7,  510.6,  371.1
  518.0,  396.9,  510.3,  371.0
  518.1,  397.1,  509.9,  370.9
  518.1,  397.1,  509.5,  371.0
  518.1,  396.9,  509.6,  371.2
  518.5,  396.8,  509.9,  371.3
  518.9,  396.7,  509.8,  371.7
  519.2,  396.7,  509.2,  372.5
  519.6,  396.7,  508.6,  373.2
  520.0,  397.1,  508.8,  373.8
  520.3,  397.5,  509.3,  373.9
  520.3,  398.0,  509.8,  374.2
  520.4,  398.2,  509.7,  374.4
  520.5,  398.3,  509.9,  374.7
  520.2,  398.3,  510.1,  374.9
  519.7,  398.4,  510.3,  374.9
  519.1,  398.5,  510.1,  374.7
  519.0,  398.6,  509.9,  374.5
  518.9,  398.7,  509.7,  374.4
  519.0,  398.7,  509.2,  374.9
  518.9,  398.7,  508.7,  375.5
  518.8,  398.5,  508.3,  375.7
  518.9,  398.3,  508.3,  375.3
  519.1,  398.1,  508.4,  374.8
  519.4,  398.2,  508.5,  374.8
  519.5,  398.3,  508.5,  374.7
  519.3,  398.3,  508.5,  374.0
  519.2,  398.5,  508.5,  373.4
  519.0,  398.7,  508.5,  373.1
  518.9,  399.0,  508.4,  373.4
  518.7,  399.2,  508.4,  373.7
  519.0,  399.3,  508.4,  373.7
  519.5,  399.6,  508.6,  373.7
  519.9,  399.9,  508.8,  374.1
  519.7,  400.1,  508.9,  374.5
  519.3,  399.8,  508.7,  374.8
  518.8,  399.3,  508.2,  374.6
  518.4,  398.7,  507.7,  373.9
  518.4,  398.4,  508.0,  373.4
  518.3,  398.1,  508.6,  373.0
  518.3,  397.9,  509.1,  373.0
  518.4,  397.6,  508.9,  372.4
  518.5,  397.8,  508.8,  371.8
  518.7,  398.1,  508.5,  371.5
  519.0,  398.4,  508.2,  371.7
  519.4,  398.5,  507.8,  372.0
  519.5,  398.7,  507.7,  372.0
  519.4,  398.8,  507.7,  372.1
  519.3,  398.8,  507.9,  372.2
  519.2,  398.7,  508.2,  372.3
  518.7,  398.6,  508.2,  372.4
  518.2,  398.8,  508.0,  372.1
  517.9,  398.9,  507.9,  371.8
  518.0,  399.0,  507.9,  372.3
  517.2,  398.6,  507.7,  373.4
  516.3,  398.3,  507.5,  374.5
  515.5,  398.1,  507.6,  374.8
  515.9,  397.8,  507.9,  374.8
  516.4,  397.6,  508.2,  374.7
  516.7,  397.3,  508.5,  374.7
  516.6,  397.2,  508.7,  375.0
  516.8,  397.2,  508.0,  375.5
  516.9,  398.1,  507.3,  376.1
  517.4,  399.2,  506.5,  376.3
  517.9,  400.2,  506.9,  376.3
  518.5,  400.3,  507.3,  376.3
  519.2,  400.6,  507.7,  376.2
  519.6,  400.8,  507.9,  375.3
  519.6,  400.5,  508.2,  374.3
  519.2,  399.9,  508.5,  373.2
  518.7,  399.8,  508.7,  373.1
  519.3,  400.4,  508.8,  373.1
  519.9,  401.0,  508.8,  373.2
  520.6,  401.0,  508.8,  373.2
  520.7,  400.8,  509.3,  373.2
  521.0,  400.5,  509.9,  373.3
  521.2,  400.4,  510.5,  373.3
  521.4,  400.2,  510.6,  373.7
  521.4,  400.1,  510.9,  374.1
  521.4,  400.3,  511.1,  374.5
  521.4,  400.6,  510.9,  374.7
  521.5,  400.8,  510.3,  374.8
  521.1,  400.3,  509.6,  375.0
  520.9,  399.8,  509.7,  374.8
  520.6,  399.6,  509.8,  374.6
  520.7,  400.0,  509.9,  374.4
  520.6,  400.4,  510.1,  374.4
  520.5,  400.7,  510.4,  374.4
  520.5,  400.5,  510.8,  374.5
  520.5,  400.3,  510.9,  374.5
  520.7,  400.4,  511.1,  374.6
  520.9,  400.5,  511.2,  375.0
  520.7,  400.5,  511.4,  375.5
  520.2,  400.3,  511.7,  375.9
  519.8,  399.8,  511.7,  375.8
  519.8,  399.3,  511.6,  375.6
  519.9,  398.9,  511.4,  375.4
  519.9,  399.0,  511.7,  375.7
  519.7,  399.0,  512.1,  376.0
  519.5,  399.0,  512.4,  376.5
  519.3,  399.3,  512.4,  376.6
  519.4,  399.7,  512.3,  376.7
  519.5,  400.1,  512.4,  376.2
  519.0,  400.2,  512.5,  375.7
  518.3,  400.2,  512.8,  376.2
  518.0,  400.2,  513.0,  377.2
  518.3,  400.6,  513.2,  377.8
  518.4,  400.8,  513.7,  377.5
  518.2,  400.8,  514.0,  377.8
  518.0,  400.6,  514.1,  378.5
  518.1,  400.7,  513.7,  379.0
  518.4,  401.3,  513.6,  378.5
  518.8,  401.9,  514.2,  377.9
  519.1,  402.1,  514.8,  377.4
  519.1,  402.2,  515.4,  377.2
  519.1,  402.3,  515.6,  377.2
  519.4,  402.7,  515.9,  376.4
  519.8,  403.0,  515.4,  375.6
  520.1,  403.2,  514.9,  374.7
  520.2,  403.1,  514.3,  374.7
  520.2,  402.9,  514.4,  374.7
  520.1,  402.4,  514.7,  374.7
  520.0,  401.9,  514.9,  374.3
  520.1,  401.7,  515.3,  374.0
  520.5,  402.1,  515.4,  373.8
  520.9,  402.4,  515.4,  373.8
  521.2,  402.6,  515.2,  373.3
  521.3,  402.5,  515.1,  372.8
  521.3,  402.5,  515.1,  372.3
  521.4,  402.6,  514.6,  372.3
  521.5,  403.1,  514.1,  372.6
  521.6,  403.5,  513.6,  372.9
  521.6,  404.1,  513.5,  373.2
  521.4,  404.4,  513.5,  373.3
  521.3,  404.8,  514.2,  373.5
  521.4,  404.8,  514.9,  373.7
  521.6,  404.8,  514.6,  373.8
  521.8,  404.7,  513.5,  373.8
  522.0,  404.6,  512.8,  373.7
  522.1,  404.6,  513.3,  373.7
  522.1,  404.7,  513.7,  374.0
  522.0,  404.7,  513.7,  374.3
  521.9,  404.6,  513.9,  374.2
  521.9,  404.5,  514.1,  373.8
  521.8,  404.6,  514.3,  373.5
  521.9,  404.8,  514.8,  373.6
  521.9,  405.3,  515.2,  373.8
  522.0,  405.8,  515.8,  373.5
  521.4,  406.2,  515.8,  373.1
  520.9,  406.2,  515.6,  372.6
  520.5,  405.8,  515.0,  372.5
  520.6,  405.4,  514.3,  373.0
  520.8,  405.0,  514.1,  373.6
  521.3,  404.3,  514.4,  374.2
  521.9,  403.5,  514.7,  374.3
  522.3,  402.9,  514.4,  374.2
  521.9,  403.0,  513.9,  374.2
  521.4,  402.9,  513.5,  374.2
  520.9,  402.5,  513.8,  374.2
  520.6,  402.3,  514.1,  374.2
  520.3,  402.2,  514.2,  374.2
  520.2,  402.7,  514.2,  374.3
  520.2,  403.2,  514.2,  374.5
  520.2,  403.5,  514.2,  374.8
  520.2,  403.3,  514.2,  374.9
  520.0,  403.2,  514.2,  375.1
  519.9,  403.3,  514.2,  375.9
  520.2,  403.7,  514.3,  376.7
  520.7,  403.9,  514.2,  377.1
  521.2,  404.0,  514.0,  377.0
  521.3,  404.0,  513.9,  377.0
  521.4,  404.0,  513.9,  377.3
  521.5,  403.8,  514.0,  377.4
  521.5,  403.6,  513.7,  377.4
  521.7,  403.3,  513.3,  377.3
  521.9,  403.3,  512.9,  377.2
  522.1,  403.8,  512.9,  377.2
  522.0,  404.5,  514.0,  377.3
  521.9,  405.1,  515.1,  377.4
  521.9,  405.1,  515.5,  377.3
  521.9,  405.0,  514.9,  377.1
  522.0,  404.9,  514.2,  376.9
  521.6,  404.7,  514.2,  377.0
  521.3,  404.5,  514.1,  377.1
  520.8,  404.9,  513.7,  377.2
  520.8,  405.3,  513.4,  377.2
  520.8,  405.8,  513.2,  377.2
  520.6,  405.8,  513.2,  377.3
  520.3,  405.7,  512.7,  377.6
  520.1,  405.6,  512.2,  377.9
  520.2,  406.0,  511.7,  378.2
  520.3,  406.5,  511.8,  378.2
  520.4,  407.1,  512.0,  378.3
  520.1,  407.1,  512.2,  378.5
  519.7,  407.2,  512.5,  378.6
  519.5,  407.2,  512.8,  378.7
  519.6,  407.0,  513.2,  379.1
  519.7,  406.6,  513.3,  380.0
  519.8,  406.2,  513.3,  380.9
  519.9,  405.9,  513.0,  381.1
  519.7,  405.8,  512.7,  380.9
  519.5,  405.7,  512.3,  380.6
  519.5,  405.5,  511.7,  380.6
  519.6,  405.2,  511.2,  380.7
  519.6,  404.8,  511.3,  380.7
  519.4,  404.5,  511.9,  380.6
  519.2,  404.4,  512.5,  380.6
  519.0,  404.5,  512.3,  381.0
  519.1,  404.6,  511.6,  381.5
  519.5,  404.6,  510.9,  382.0
  519.9,  404.5,  510.8,  382.2
